,id,name,description,author_name,modified,created,tags,references,public,adversary,targeted_countries,malware_families,attack_ids,industries,TLP,revision,groups,in_group,author,is_subscribing
0,5497d9af11d4080471a1a37c,Compromised Wordpress sites serving multiple malware payloads,,AlienVault,2017-11-25T19:10:02.184000,2014-12-22T08:43:27.709000,[],[],1,,[],[],[],[],green,2,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
1,551196f013432a4db389652c,Neverquest campaign is targeting Canadian banks,,AlienVault,2015-03-24T16:55:12.054000,2015-03-24T16:55:12.054000,[],[],1,,[],[],[],[],green,1,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
2,5524271d13432a714ff499f1,Malvertising from Google advertisements,,AlienVault,2017-08-24T10:49:33.406000,2015-04-07T18:51:09.452000,[],[],1,,[],[],[],[],green,9,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
3,5549706fb45ff57f70d77981,Targeted Crimeware in the Midst of Indiscriminate Activity,"Although we have observed low volume spam campaigns by some cybercriminals who have purchased MWI, we recently discovered spearphishing emails by one group using MWI to direct an attack against point-of-sale (POS) service providers. Despite the targeted nature of the spearphishing emails, the payload was the widely distributed Vawktrak banking Trojan. In addition, we found that the infrastructure used in this case overlaps with FindPOS/PoSeidon as well as Chanitor and sits amidst a cluster of largely indiscriminate malicious activity.",AlienVault,2017-08-24T10:51:20.236000,2015-05-06T01:37:51.005000,[],[],1,,[],[],[],[],green,1,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
4,5549710ab45ff57f86d77953,Rombertik,"At a high level, Romberik is a complex piece of malware that is designed to hook into the user’s browser to read credentials and other sensitive information for exfiltration to an attacker controlled server, similar to Dyre. However, unlike Dyre which was designed to target banking information, Rombertik collects information from all websites in an indiscriminate manner.",AlienVault,2015-05-08T18:54:54.791000,2015-05-06T01:40:26.332000,[],[],1,,[],[],[],[],green,2,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
5,55497269b45ff5016bd77951,TROJ_WERDLOD: New Banking Trojan Targets Japan,"A new online banking malware with the same technique used in Operation Emmental has been hitting users in Japan. Detected as TROJ_WERDLOD, this new malware has been causing problems in the country since December 2014 with more than 400 confirmed victims.",AlienVault,2015-05-06T01:47:22.432000,2015-05-06T01:46:17.612000,[],[],1,,[],[],[],[],green,4,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
6,554a4723b45ff50cc4d77959,Banking Malware Dridex Arrives via Phishing Email,"In a recent case involving the Dridex malware, McAfee Labs found the distribution method to be typical: The malware arrives via a phishing email.",AlienVault,2017-08-24T10:51:16.986000,2015-05-06T16:53:55.228000,[],[],1,,[],[],[],[],green,1,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
7,555ba143b45ff57a50e5b426,A New UAC Bypass Method that Dridex Uses,"Dridex is a banking trojan, which is a bot that communicates with a C&C server through HTTP. This variant uses a new UAC bypass method that has been used by the Dridex malware since December, 2014.",AlienVault,2015-05-19T20:47:07.439000,2015-05-19T20:46:59.770000,[],[],1,,[],[],[],[],green,2,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
8,555be98eb45ff507dbe5b426,e-Banking Trojan Retefe still spreading in Switzerland,"In July 2014, Trend Micro published a report about a threat called Retefe, an ebanking Trojan that is targeting financial institutions in Switzerland, Austria, Sweden and Japan. In fact, Retefe is already around since November 2013. Back then, MELANI already took appropriate action together with the affected financial institutions and ISPs in Switzerland to mitigate the threat. However, Retefe is still being distributed in recent spam campaigns, targeting Swiss Internet users.",AlienVault,2015-05-20T02:01:38.061000,2015-05-20T01:55:26.226000,[],[],1,,[],[],[],[],green,2,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
9,557f2c36b45ff5489763f4b1,Stegoloader: A Stealthy Information Stealer,"Malware authors are evolving their techniques to evade network and host-based detection mechanisms. Stegoloader could represent an emerging trend in malware: the use of digital steganography to hide malicious code. The Stegoloader malware family (also known as Win32/Gatak.DR and TSPY_GATAK.GTK despite not sharing any similarities with the Gataka banking trojan) was first identified at the end of 2013 and has attracted little public attention. Dell SecureWorks Counter Threat Unit(TM) (CTU) researchers have analyzed multiple variants of this malware, which stealthily steals information from compromised systems. Stegoloader's modular design allows its operator to deploy modules as necessary, limiting the exposure of the malware capabilities during investigations and reverse engineering analysis. The modules analyzed by CTU researchers list recently accessed documents, enumerate installed programs, list recently visited websites, steal passwords, and steal installation files for the IDA tool.",AlienVault,2015-06-15T19:49:10.960000,2015-06-15T19:49:10.960000,[],[],1,,[],[],[],[],green,1,[],False,"{'username': 'AlienVault', 'id': '2', 'avatar_url': '/otxapi/users/avatar_image/media/avatars/user_2/resized/80/avatar_dacfad0ca8.png', 'is_subscribed': True, 'is_following': False}",
