tweet_id,tweet
1643078290645581824,RT @jayPhantom42: @Crispyliver I've just been converting detractors into servants.   Even the useless can be useful under the light of the…
1643077386567667714,@Crispyliver I've just been converting detractors into servants.   Even the useless can be useful under the light o… https://t.co/PujOnuWXv3
1643077313939263488,RT @ThoeD0R: وبسایت ( خبرگزاری دولت ) از دسترس خارج شد. توسط Anonymous  #OpIran‌‌ #Anonymous  @anonymousopiran @anon_met @MysteriousTeamO @…
1643077112734322688,RT @arcadiisback: ❗️❗️Something big is coming!  #OpRussia #FCKPTN #Anonymous #NAFO #RussiaIsCollapsing https://t.co/DOkM7RGX24
1643077080710619141,RT @ParsonRoxann: Stone and My Pillow is now the official modern day Jim and Tammy Faye Baker!  #Anonymous
1643076941317308417,RT @ThoeD0R: وبسایت ( مشرق نیوز ) متعلق به دولت ج.ا از دسترس خارج شد. توسط Anonymous  #OpIran #Anonymous     @anonymousopiran @HumanBrother…
1643076841316524032,RT @leopolitan: #Anonymous &amp; #NAFO rock this website and app! Woof!   🩵🩵🩵 🐕🐕🐕  Mood: https://t.co/O5NKmCXMA4
1643076822165336067,RT @christoalnz: Backed by #Russia or Pro-Russian? Know this! We are coming for all of you. You will all go to jail. The Internet  never fo…
1643076541793058817,RT @Mefisto_OneFist: Sanctions what sanctions. To show you I hacked https://t.co/BhafrwfMXE and https://t.co/lUFFynSVKp - wait 10 seconds t…
1643075993404428290,RT @ThoeD0R: وبسایت ( المقاومة الإسلامية - لبنان ) زیر نظر مستقیم حزب الله لبنان از دسترس خارج شد. توسط Anonymous  #OpIran #Anonymous  @ano…
1643075841046245378,RT @AnonOpsSE: #Anonymous has been saying this since #Elon bought #twitter  Twitter's open-sourced algorithm reveals that topics about #Ukr…
1643074765366910976,RT @ThoeD0R: وبسایت ( خبرگزاری دولت ) از دسترس خارج شد. توسط Anonymous  #OpIran‌‌ #Anonymous  @anonymousopiran @anon_met @MysteriousTeamO @…
1643074485736869888,RT @YourAnonRiots: This account is Refuse to accept inhumanity as the default. @YourAnonRiots Оur mission is global peace, This only. #Anon…
1643074364303130625,RT @AnonOpsSE: #Anonymous has been saying this since #Elon bought #twitter  Twitter's open-sourced algorithm reveals that topics about #Ukr…
1643074246497964032,RT @ThoeD0R: وبسایت ( مجلس جمهوری اسلامی ایران )  از دسترس خارج شد. توسط Anonymous  #OpIran‌‌ #Anonymous  @anonymousopiran @Anon_Tyr @anon_…
1643074235995242498,RT @AnonOpsUnited: #Anonymous https://t.co/inqjxFkluv
1643072699550380033,RT @ThoeD0R: وبسایت ( خبرگزاری دولت ) از دسترس خارج شد. توسط Anonymous  #OpIran‌‌ #Anonymous  @anonymousopiran @anon_met @MysteriousTeamO @…
1643072491634425856,Can we hack Tennessee yet?   #Anonymous
1643070897010491393,Is the anonymous on Spoutable you? They are answering everywhere And that gives me pause. #Anonymous
1643069337102872576,RT @AnonOpsUnited: #Anonymous https://t.co/JmIlvt0Vlw
