tweet_id,tweet
1642694198515097614,RT @FalconFeedsio: ALPHV #ransomware group added Mutual de seguros de Chile, a company operating in insurance industry, to their victim lis…
1642693179940978688,ALPHV #ransomware group added Mutual de seguros de Chile, a company operating in insurance industry, to their victim list.  Note: Claims to have published a part of company data in their leaks site.  #Chile  #DarkWeb #DeepWeb #cyberattack #DataBreach https://t.co/ze6ZRpnKkN
1642678687324618753,Ransomware Victimology: ----------------------------- Date: 2023-04-02 02:27:02 Ransomware Group: #alphv Victim: Ruekert &amp; Mielke  #Ransomware #CyberSecurity #CyberThreatIntelligence #ThreatIntel
1642671656823865346,Actor : alphv  Victim : Mutual de Seguros de Chile  Date : 2023-04-02 22:31 UTC +3   According to the #DarkWeb #Ransomware activity by the ThreatMon Threat Intelligence Team, the “#alphv” Ransomware group has added Mutual de Seguros de Chile to its victims.
1642667243354955777,RT @AlvieriD: Alphv Black Cat claims Chilean non-profit insurer Mutual de Seguros de Chile.  /mutualdeseguros.cl  #cybersecurity #infosec h…
1642660137247686656,RT @AlvieriD: Alphv Black Cat claims Chilean non-profit insurer Mutual de Seguros de Chile.  /mutualdeseguros.cl  #cybersecurity #infosec h…
1642659811761192960,RT @RansomwareNews: Group: alphv Approx. Time: 2023-04-02 22:31:35.007425 Title: Mutual de Seguros de Chile
1642656521862410241,Group: alphv Approx. Time: 2023-04-02 22:31:35.007425 Title: Mutual de Seguros de Chile
1642655358958043137,RT @AlvieriD: Alphv Black Cat claims Chilean non-profit insurer Mutual de Seguros de Chile.  /mutualdeseguros.cl  #cybersecurity #infosec h…
1642652032652787712,New post from Alphv : Mutual De Seguros De Chile
1642650257971453952,RT @AlvieriD: Alphv Black Cat claims Chilean non-profit insurer Mutual de Seguros de Chile.  /mutualdeseguros.cl  #cybersecurity #infosec h…
1642648844046331906,Mutual de Seguros de Chile - https:\\mutualdeseguros[.]cl  New alledge victim of ALPHV Ransomware Group on 2023-04-02.   #Ransomware #ALPHV
1642646173801492481,Alphv Black Cat claims Chilean non-profit insurer Mutual de Seguros de Chile.  /mutualdeseguros.cl  #cybersecurity #infosec https://t.co/Bj8FmYmsXt
1642533603392335873,RT @Wc0b0Z: Lo nuevo de ALPHV y más en está playlist achorada 👇  https://t.co/zvTdvzIX7O
1642459228878278656,RT @NikoliIvanov: Ransomware Victimology: ----------------------------- Date: 2023-04-01 10:42:25 Ransomware Group: #alphv Victim: TRUSSWAY…
1642391409247555585,ALPHV #ransomware has added Ruekert-Mielke (https://t.co/7dk7OwlzOO) to their victim list. The claimed data is over 640 GB. The provided sample contains address maps, satellite maps, project plans, etc.   #USA  #databreach #DarkWeb #DeepWeb https://t.co/zW3Qm02ppP
1642319975191920640,New post from Alphv : Ruekert &amp; Mielke
1642315997209083904,Ransomware Victimology: ----------------------------- Date: 2023-04-01 10:42:25 Ransomware Group: #alphv Victim: TRUSSWAY  #Ransomware #CyberSecurity #CyberThreatIntelligence #ThreatIntel
1642306969523347456,@Alphv_Nxur 😂😂
1642303127557685249,RT @FalconFeedsio: ALPHV #ransomware group added Trussway Manufacturing, to their victim list. They claims to have access to 5.54 TB of com…
1642300092970594311,RT @vxunderground: Ransomware group comment to the HIVE take down:  ALPHV: This would not work on us, we have too strong security and we do…
1642293441580113921,Group: alphv Approx. Time: 2023-04-01 22:27:58.326188 Title: Ruekert &amp; Mielke
1642292596172095488,RT @AlvieriD: First lawsuit filed last night against the Lehigh Valley Health Network over Black Cat leaking cancer patient photos.  #alphv…
1642286582232236034,Ruekert &amp; Mielke - ruekertmielke[.]com  New alledge victim of ALPHV Ransomware Group on 2023-04-01.   #Ransomware #ALPHV
1642161386120699908,RT @Wc0b0Z: Lo nuevo de ALPHV y más en está playlist achorada 👇  https://t.co/zvTdvzIX7O
1642155818496688129,RT @djamoci: @Mixboi_ @Alphv_Nxur https://t.co/RhiEseMjYq
1642142329422135299,RT @RansomwareNews: Group: alphv Approx. Time: 2023-04-01 08:29:42.570977 Title: TRUSSWAY
1642125173514985473,@Mixboi_ @Alphv_Nxur https://t.co/RhiEseMjYq
1642116024580427776,@Alphv_Nxur Lol
1642115425315045377,@Alphv_Nxur @djamoci Ehhh merde 🤣🙆🏾‍♀️
1642114689671806979,@Alphv_Nxur 🙄
1642113213998170113,@Alphv_Nxur Demain encore même chose 🙌🏽
1642110281881903109,RT @FalconFeedsio: ALPHV #ransomware group added Trussway Manufacturing, to their victim list. They claims to have access to 5.54 TB of com…
1642110036166991872,Actor : BlackCat (ALPHV)  Victim : TRUSSWAY  Date : 2023-04-01 13:19 UTC +3   According to the #DarkWeb #Ransomware activity by the ThreatMon Threat Intelligence Team, the “#BlackCat(ALPHV)” Ransomware group has added TRUSSWAY to its victims.
1642108609076109312,New post from Alphv : Trussway
